variables,type,units,values,description
financese.machine_rating,input,kW,[5000.],
financese.offset_tcc_per_kW,input,USD/kW,[0.],
financese.opex_per_kW,input,USD/kW/year,[43.],
financese.plant_aep_in,input,kW*h,[0.],
financese.wake_loss_factor,input,,[0.15],
financese.fixed_charge_rate,input,,[0.0578],
financese.electricity_price,input,USD/kW/h,[0.04],
financese.reserve_margin_price,input,USD/kW/year,[120.],
financese.capacity_credit,input,,[1.],
financese.benchmark_price,input,USD/kW/h,[0.071],
financese.turbine_number,input,n/a,120,
landbosse.blade_drag_coefficient,input,,[-1.],
landbosse.blade_lever_arm,input,m,[-1.],
landbosse.blade_install_cycle_time,input,h,[-1.],
landbosse.blade_offload_hook_height,input,m,[-1.],
landbosse.blade_offload_cycle_time,input,h,[-1.],
landbosse.blade_drag_multiplier,input,,[-1.],
landbosse.tower_section_length_m,input,m,[30.],
landbosse.crane_breakdown_fraction,input,,[0.],0 means the crane is never broken down. 1 means it is broken down every turbine.
landbosse.construct_duration,input,,[9.],Total project construction time (months)
landbosse.wind_shear_exponent,input,,[0.2],Wind shear exponent
landbosse.turbine_rating_MW,input,MW,[5.],Turbine rating MW
landbosse.fuel_cost_usd_per_gal,input,,[1.5],Fuel cost USD/gal
landbosse.breakpoint_between_base_and_topping_percent,input,,[0.8],Breakpoint between base and topping (percent)
landbosse.turbine_spacing_rotor_diameters,input,,[7.],Turbine spacing (times rotor diameter)
landbosse.depth,input,m,[2.36],Foundation depth m
landbosse.bearing_pressure_n_m2,input,,[191521.],Bearing Pressure (n/m2)
landbosse.road_length_adder_m,input,m,[5000.],Road length adder (m)
landbosse.fraction_new_roads,input,,[0.33],Percent of roads that will be constructed (0.0 - 1.0)
landbosse.road_quality,input,,[0.6],Road Quality (0-1)
landbosse.line_frequency_hz,input,Hz,[60.],Line Frequency (Hz)
landbosse.row_spacing_rotor_diameters,input,,[7.],Row spacing (times rotor diameter)
landbosse.trench_len_to_substation_km,input,km,[50.],Combined Homerun Trench Length to Substation (km)
landbosse.distance_to_interconnect_mi,input,mi,[4.97096954],Distance to interconnect (miles)
landbosse.interconnect_voltage_kV,input,kV,[130.],Interconnect Voltage (kV)
landbosse.critical_speed_non_erection_wind_delays_m_per_s,input,m/s,[15.],Non-Erection Wind Delay Critical Speed (m/s)
landbosse.critical_height_non_erection_wind_delays_m,input,m,[10.],Non-Erection Wind Delay Critical Height (m)
landbosse.road_width_ft,input,ft,[20.],Road width (ft)
landbosse.road_thickness,input,,[8.],Road thickness (in)
landbosse.crane_width,input,m,[12.2],Crane width (m)
landbosse.overtime_multiplier,input,,[1.4],Overtime multiplier
landbosse.markup_contingency,input,,[0.03],Markup contingency
landbosse.markup_warranty_management,input,,[0.0002],Markup warranty management
landbosse.markup_sales_and_use_tax,input,,[0.],Markup sales and use tax
landbosse.markup_overhead,input,,[0.05],Markup overhead
landbosse.markup_profit_margin,input,,[0.05],Markup profit margin
landbosse.Mass tonne,input,t,[1.],
landbosse.development_labor_cost_usd,input,USD,[1000000.],The cost of labor in the development phase
landbosse.labor_cost_multiplier,input,,[1.],Labor cost multiplier
landbosse.commissioning_pct,input,,[0.01],
landbosse.decommissioning_pct,input,,[0.15],
landbosse.road_distributed_winnd,input,n/a,False,
landbosse.num_turbines,input,n/a,120,Number of turbines in project
landbosse.number_of_blades,input,n/a,3,Number of blades on the rotor
landbosse.user_defined_home_run_trench,input,n/a,0,Flag for user-defined home run trench length (0 = no; 1 = yes)
landbosse.allow_same_flag,input,n/a,False,Allow same crane for base and topping (True or False)
landbosse.hour_day,input,n/a,"{'long': 24, 'normal': 10}","Dictionary of normal and long hours for construction in a day in the form of {'long': 24, 'normal': 10}"
landbosse.time_construct,input,n/a,normal,One of the keys in the hour_day dictionary to specify how many hours per day construction happens.
landbosse.user_defined_distance_to_grid_connection,input,n/a,False,Flag for user-defined home run trench length (True or False)
landbosse.rate_of_deliveries,input,n/a,10,Rate of deliveries (turbines per week)
landbosse.new_switchyard,input,n/a,True,New Switchyard (True or False)
landbosse.num_hwy_permits,input,n/a,10,Number of highway permits
landbosse.num_access_roads,input,n/a,2,Number of access roads
landbosse.site_facility_building_area_df,input,n/a,"   Size Min (MW)  Size Max (MW)  Building area (sq. ft.)
0              0            200                     3000
1            200            500                     5000
2            500            800                     7000
3            800           1000                     9000
4           1000           5000                    12000",site_facility_building_area DataFrame
landbosse.components,input,n/a,"           Component  Mass tonne  Lift height m  Surface area sq m  Coeff drag  ...  Cycle time installation hrs  Offload hook height m  Offload cycle time hrs  Multplier drag rotor  Multiplier tower drag
0  Nacelle GE 1.5SLE        50.0             90              33.00         0.8  ...                          1.5                      6                     0.5              1.000000                      0
1                Hub        15.4             90              11.30         1.1  ...                          1.0                      6                     0.5              0.000000                      0
2            Blade 1         5.2             90              33.44         0.1  ...                          1.0                      6                     0.5              0.666667                      0
3            Blade 2         5.2             90              33.44         0.1  ...                          1.0                      6                     0.5              0.666667                      0
4            Blade 3         5.2             90              33.44         0.1  ...                          1.0                      6                     0.5              0.666667                      0
5    Tower section 1        59.8             30              95.89         0.6  ...                          1.0                      6                     0.5              0.000000                      1
6    Tower section 2        39.3             60              96.25         0.6  ...                          1.0                      6                     0.5              0.000000                      1
7    Tower section 3        30.9             90              90.00         0.6  ...                          1.0                      6                     0.5              0.000000                      1

[8 rows x 13 columns]","Dataframe of components for tower, blade, nacelle"
