variables,type,units,values,description
bear1.D_bearing,input,m,[0.],
bear1.D_shaft,input,m,[2.2],
bear1.bearing_type,input,n/a,CARB,
bear2.D_bearing,input,m,[0.],
bear2.D_shaft,input,m,[2.2],
bear2.bearing_type,input,n/a,SRB,
tilt,input,deg,[5.],
D_top,input,m,[3.87],
bedplate_flange_width,input,m,[0.96284418],
bedplate_flange_thickness,input,m,[0.10027784],
bedplate_web_thickness,input,m,[0.10092793],
stator_deflection_allowable,input,m,[0.0001],
stator_angle_allowable,input,rad,[0.001],
upwind,input,n/a,True,
rotor_diameter,input,m,[126.],
rated_torque,input,N*m,[0.],
brake_mass_user,input,kg,[0.],
s_rotor,input,m,[0.],
gear_ratio,input,,[96.],
damping_ratio,input,,[0.],
blades_I,input,kg*m**2,[36494351. 17549243. 14423664.        0.        0.        0.],
machine_rating,input,kW,[5000.],
converter_mass_user,input,kg,[0.],
transformer_mass_user,input,kg,[0.],
gearbox_mass_user,input,kg,[0.],
gearbox_torque_density,input,N*m/kg,[0.],
gearbox_radius_user,input,m,[0.],
gearbox_length_user,input,m,[0.],
gear_configuration,input,n/a,eep,
planet_numbers,input,n/a,[3 3 0],
L_generator,input,m,[2.],
generator_mass_user,input,kg,[0.],
generator_radius_user,input,m,[0.],
generator_efficiency_user,input,,"[[0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]
 [0. 0.]]",
hss_diameter,input,m,[0.50026724 0.52659627],
hss_wall_thickness,input,m,[0.10022701 0.10018675],
M_hub,input,N*m,"[[10515165.10636333]
 [  945938.60268626]
 [ 1042828.16100417]]",
flange_t2shell_t,input,,[4.],
flange_OD2hub_D,input,,[0.5],
flange_ID2flange_OD,input,,[0.8],
hub_stress_concentration,input,,[2.5],
hub_diameter,input,m,[4.99985364],
blade_root_diameter,input,m,[3.542],
hub_in2out_circ,input,,[1.2],
hub_shell.n_blades,input,n/a,3,
rated_rpm,input,rpm,[12.1],
stop_time,input,s,[5.],
blade_mass,input,kg,[16403.],
pitch_system_scaling_factor,input,,[0.54],
pitch_system.BRFM,input,N*m,[14239550.],
n_blades,input,n/a,3,
clearance_hub_spinner,input,m,[1.],
spin_hole_incr,input,,[1.2],
spinner_gust_ws,input,m/s,[70.],
n_front_brackets,input,n/a,3,
n_rear_brackets,input,n/a,3,
L_12,input,m,[0.26260898],
L_h1,input,m,[1.81580077],
overhang,input,m,[5.],
drive_height,input,m,[2.3],
lss_diameter,input,m,[0.69000767 0.863168  ],
lss_wall_thickness,input,m,[0.28789224 0.28796219],
L_hss,input,m,[1.54054991],
F_hub,input,N,"[[1125044.07614847]
 [  -7098.0872533 ]
 [  -7022.79756034]]",
shaft_deflection_allowable,input,m,[0.0001],
shaft_angle_allowable,input,rad,[0.001],
E_mat,input,Pa,"[[2.00e+11 2.00e+11 2.00e+11]
 [2.05e+11 2.05e+11 2.05e+11]
 [1.18e+11 1.18e+11 1.18e+11]
 [4.46e+10 1.70e+10 1.67e+10]]",
G_mat,input,Pa,"[[7.93e+10 7.93e+10 7.93e+10]
 [8.00e+10 8.00e+10 8.00e+10]
 [4.76e+10 4.76e+10 4.76e+10]
 [3.27e+09 3.48e+09 3.50e+09]]",
Xt_mat,input,Pa,"[[4.500e+08 4.500e+08 4.500e+08]
 [8.140e+08 8.140e+08 8.140e+08]
 [3.100e+08 3.100e+08 3.100e+08]
 [6.092e+08 3.810e+07 1.529e+07]]",
Xy_mat,input,Pa,[3.45e+08 4.85e+08 2.65e+08 1.89e+07],
wohler_exp_mat,input,,[10. 10. 10. 10.],
wohler_A_mat,input,,[10. 10. 10. 10.],
rho_mat,input,kg/m**3,[7800. 7850. 7200. 1940.],
unit_cost_mat,input,USD/kg,[0.7 0.9 0.5 1.9],
material_names,input,n/a,"['steel', 'steel_drive', 'cast_iron', 'glass_uni']",
lss_material,input,n/a,steel_drive,
hss_material,input,n/a,steel_drive,
hub_material,input,n/a,cast_iron,
spinner_material,input,n/a,glass_uni,
bedplate_material,input,n/a,steel,
hvac_mass_coeff,input,kg/kW/m,[0.025],
nose_mass,input,kg,[0.],
nose_cm,input,m,[0.],
nose_I,input,kg*m**2,[0. 0. 0.],
x_bedplate,input,m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
uptower,input,n/a,True,
blades_mass,input,kg,[49209.],
blades_cm,input,m,[0.],
minimum_rpm,input,rpm,[6.9],
s_drive,output,m,"[-5.0897873  -4.0897873  -3.0897873  -2.31951234 -1.54923739 -0.60423739
  0.34076261  0.44076261  0.57206711  0.7033716   1.61127198  2.51917237]",
bedplate_web_height,output,m,[1.16839681],
s_mb1,output,m,[0.7033716],
s_mb2,output,m,[0.44076261],
mb1_mass,intermediate,kg,[48092.00178654],
mb1_I,intermediate,kg*m**2,[61763.00100246 32072.06011481 32072.06011481],
mb1_max_defl_ang,intermediate,rad,[0.00872665],
mb2_mass,intermediate,kg,[13479.28387693],
mb2_I,intermediate,kg*m**2,[17243.10356309  8932.60847221  8932.60847221],
mb2_max_defl_ang,intermediate,rad,[0.078],
s_gearbox,output,m,[-0.60423739],
s_generator,output,m,[-4.0897873],
F_mb1,output,N,"[[1096590.31712457]
 [  -7098.0872533 ]
 [-332250.7544389 ]]",
F_mb2,output,N,"[[-0.]
 [-0.]
 [-0.]]",
F_torq,output,N,"[[-0.]
 [-0.]
 [-0.]]",
F_generator,output,N,"[[ -17750.74279781]
 [     -0.        ]
 [-202891.91922144]]",
M_mb1,output,N*m,"[[-0.]
 [-0.]
 [-0.]]",
M_mb2,output,N*m,"[[     -0.        ]
 [ 988716.56588095]
 [1056427.18061827]]",
M_torq,output,N*m,"[[10515165.10636333]
 [      -0.        ]
 [      -0.        ]]",
M_generator,output,N*m,"[[ 109532.96985795]
 [-464481.03880877]
 [     -0.        ]]",
other_mass,output,kg,[43082.78338105],
bedplate_E,output,Pa,[2.e+11],
bedplate_G,output,Pa,[7.93e+10],
bedplate_rho,output,kg/m**3,[7800.],
bedplate_Xy,output,Pa,[3.45e+08],
lss_spring_constant,output,N*m/rad,[1.27914396e+09],
hss_spring_constant,output,N*m/rad,[3.04909237e+08],
hub_system_I,output,kg*m**2,"[104832.80085496  79870.79954454  79870.79954454      0.
      0.              0.        ]",
lss_rpm,output,rpm,"[ 6.9         7.17368421  7.44736842  7.72105263  7.99473684  8.26842105
  8.54210526  8.81578947  9.08947368  9.36315789  9.63684211  9.91052632
 10.18421053 10.45789474 10.73157895 11.00526316 11.27894737 11.55263158
 11.82631579 12.1       ]",
s_hss,output,m,[-3.0897873  -2.31951234 -1.54923739],
generator_mass,output,kg,[19195.74437204],
generator_I,output,kg*m**2,[ 8571.13980892 10684.15136181 10684.15136181],
brake_mass,output,kg,[0.],
brake_I,output,kg*m**2,[0. 0. 0.],
hss_E,output,Pa,[2.05e+11],
hss_G,output,Pa,[8.e+10],
hss_rho,output,kg/m**3,[7850.],
hss_Xy,output,Pa,[4.85e+08],
pitch_mass,output,kg,[8036.49298539],
pitch_cost,output,USD,[0.],
pitch_I,output,kg*m**2,"[50225.14069133 25112.57034567 25112.57034567     0.
     0.             0.        ]",
hub_mass,output,kg,[2741.78697478],
hub_cost,output,USD,[1370.89348739],
hub_cm,output,m,[2.29390998],
hub_I,output,kg*m**2,"[11423.44360111 11423.44360111 11423.44360111     0.
     0.             0.        ]",
spinner_mass,output,kg,[5288.08437963],
spinner_cost,output,kg,[8115.59779997],
spinner_cm,output,m,[2.49992682],
spinner_I,output,kg*m**2,"[43184.21656251 43184.21656251 43184.21656251     0.
     0.             0.        ]",
hub_shell.rho,intermediate,kg/m**3,[7200.],
max_torque,output,N*m,[9248464.3899296],
hub_shell.Xy,intermediate,Pa,[2.65e+08],
hub_shell.metal_cost,intermediate,USD/kg,[0.5],
pitch_system.rho,intermediate,kg/m**3,[7800.],
pitch_system.Xy,intermediate,Pa,[3.45e+08],
spinner.composite_Xt,intermediate,Pa,[38100000.],
spinner.composite_rho,intermediate,kg/m**3,[1940.],
spinner.Xy,intermediate,Pa,[3.45e+08],
spinner.metal_rho,intermediate,kg/m**3,[7800.],
spinner.composite_cost,intermediate,USD/kg,[1.9],
spinner.metal_cost,intermediate,USD/kg,[0.7],
lss_rho,output,kg/m**3,[7850.],
L_gearbox,output,m,[1.89],
s_lss,output,m,[0.34076261 0.44076261 0.57206711 0.7033716  2.51917237],
hub_system_mass,output,kg,[16066.36433981],
hub_system_cm,output,m,[2.36171838],
generator_rotor_mass,output,kg,[9597.87218602],
generator_rotor_I,output,kg*m**2,[4285.56990446 5342.0756809  5342.0756809 ],
gearbox_mass,output,kg,[9666.66666667],
gearbox_I,output,kg*m**2,[2762.424 4258.737 4258.737],
carrier_mass,output,kg,[9666.66666667],
carrier_I,output,kg*m**2,[2762.424 1381.212 1381.212],
lss_E,output,Pa,[2.05e+11],
lss_G,output,Pa,[8.e+10],
lss_Xy,output,Pa,[4.85e+08],
H_bedplate,output,m,[1.41895249],
L_bedplate,output,m,[7.58000527],
R_generator,output,m,[0.945],
generator_cm,intermediate,m,[-4.0897873],
rho_fiberglass,intermediate,kg/m**3,[1940.],
rho_castiron,intermediate,kg/m**3,[7200.],
mb1_cm,intermediate,m,[0.7033716],
mb2_cm,intermediate,m,[0.44076261],
gearbox_cm,intermediate,m,[-0.60423739],
hss_mass,output,kg,[1573.17816214],
hss_cm,output,m,[-2.30730119],
hss_I,output,kg*m**2,[ 71.10616467 346.68761055 346.68761055],
brake_cm,output,m,[-0.30211869],
generator_stator_mass,output,kg,[9597.87218602],
generator_stator_I,output,kg*m**2,[4285.56990446 5342.0756809  5342.0756809 ],
lss_mass,output,kg,[7558.85273358],
lss_cm,output,m,[1.56891576],
lss_I,output,kg*m**2,[ 535.51125472 3256.94743425 3256.94743425],
converter_mass,output,kg,[4196.35],
converter_cm,output,m,[0.    2.88  0.945],
converter_I,output,kg*m**2,[2498.2969725 2498.2969725 2498.2969725],
transformer_mass,output,kg,[11485.],
transformer_cm,output,m,[ 0.    -2.88   0.945],
transformer_I,output,kg*m**2,[6837.59475 6837.59475 6837.59475],
yaw_mass,output,kg,[6144.20363265],
yaw_cm,output,m,[0. 0. 0.],
yaw_I,output,kg*m**2,[0. 0. 0.],
bedplate_mass,output,kg,[36778.43350447],
bedplate_cm,output,m,[-1.20999736  0.          0.68447625],
bedplate_I,output,kg*m**2,"[ 34822.71900788 186890.17942267 212310.63639537      0.
      0.              0.        ]",
hvac_mass,output,kg,[556.65094831],
hvac_cm,output,m,[-4.0897873],
hvac_I,output,m,[279.62055738 139.81027869 139.81027869],
platform_mass,output,kg,[17253.3888],
