variables,type,units,values,description
financese.machine_rating,input,kW,15000.0,
financese.offset_tcc_per_kW,input,USD/kW,0.0,
financese.opex_per_kW,input,USD/kW/year,137.0,
financese.plant_aep_in,input,kW*h,0.0,
financese.wake_loss_factor,input,,0.15,
financese.fixed_charge_rate,input,,0.056,
financese.electricity_price,input,USD/kW/h,0.04,
financese.reserve_margin_price,input,USD/kW/year,120.0,
financese.capacity_credit,input,,1.0,
financese.benchmark_price,input,USD/kW/h,0.071,
financese.turbine_number,input,n/a,40.0,
orbit.site_depth,input,m,30.0,Site depth.
orbit.site_distance,input,km,115.0,Distance from site to installation port.
orbit.site_distance_to_landfall,input,km,50.0,Distance from site to landfall for export cable.
orbit.interconnection_distance,input,km,8.5,Distance from landfall to interconnection.
orbit.plant_turbine_spacing,input,,7.0,Turbine spacing in rotor diameters.
orbit.plant_row_spacing,input,,7.0,Row spacing in rotor diameters. Not used in ring layouts.
orbit.plant_substation_distance,input,km,1.0,Distance from first turbine in string to substation.
orbit.turbine_rating,input,MW,15.0,Rated capacity of a turbine.
orbit.tower_deck_space,input,m**2,25.0,Deck space required to transport the tower. Defaults to 0 in order to not be a constraint on installation.
orbit.nacelle_deck_space,input,m**2,25.0,Deck space required to transport the rotor nacelle assembly (RNA). Defaults to 0 in order to not be a constraint on installation.
orbit.blade_deck_space,input,m**2,100.0,Deck space required to transport a blade. Defaults to 0 in order to not be a constraint on installation.
orbit.mooring_line_mass,input,kg,10000.0,Total mass of a mooring line
orbit.mooring_line_diameter,input,m,0.1,Cross-sectional diameter of a mooring line
orbit.mooring_line_length,input,m,1000.0,Unstretched mooring line length
orbit.anchor_mass,input,kg,10000.0,Total mass of an anchor
orbit.mooring_line_cost,input,USD,500000.0,Mooring line unit cost.
orbit.mooring_anchor_cost,input,USD,100000.0,Mooring line unit cost.
orbit.port_cost_per_month,input,USD/mo,2000000.0,Monthly port costs.
orbit.takt_time,input,h,170.0,Substructure assembly cycle time when doing assembly at the port.
orbit.floating_substructure_cost,input,USD,10000000.0,Floating substructure unit cost.
orbit.monopile_length,input,m,100.0,Length of monopile (including pile).
orbit.monopile_diameter,input,m,7.0,Diameter of monopile.
orbit.monopile_mass,input,t,900.0,mass of an individual monopile.
orbit.monopile_cost,input,USD,4000000.0,Monopile unit cost.
orbit.jacket_length,input,m,65.0,Length/height of jacket (including pile/buckets).
orbit.jacket_mass,input,t,900.0,mass of an individual jacket.
orbit.jacket_cost,input,USD,4000000.0,Jacket unit cost.
orbit.jacket_r_foot,input,m,10.0,Radius of jacket legs at base from centeroid.
orbit.transition_piece_mass,input,t,250.0,mass of an individual transition piece.
orbit.transition_piece_deck_space,input,m**2,25.0,Deck space required to transport a transition piece. Defaults to 0 in order to not be a constraint on installation.
orbit.transition_piece_cost,input,USD,1500000.0,Transition piece unit cost.
