variables,type,units,values,description
floatingse.Hsig_wave,input,m,6.0,
floatingse.survival_heel,input,rad,0.17453292519943295,
floatingse.transition_node,input,m,"[0.0, 0.0, 10.0]",
floatingse.transition_piece_mass,input,kg,0.0,
floatingse.mooring_fairlead_joints,input,m,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",
floatingse.yaw,input,deg,0.0,
floatingse.rho_water,input,kg/m**3,1025.0,
floatingse.z0,input,m,0.0,
floatingse.water_depth,input,m,-320.0,
floatingse.Uc,input,m/s,0.0,mean current speed
floatingse.Tsig_wave,input,s,10.0,
floatingse.beta_wave,input,deg,0.0,
floatingse.mu_water,input,kg/m/s,0.0013351,
floatingse.env.Uref,input,m/s,0.0,
floatingse.shearExp,input,,0.11,
floatingse.beta_wind,input,deg,0.0,
floatingse.rho_air,input,kg/m**3,1.225,
floatingse.mu_air,input,kg/m/s,1.81e-05,
floatingse.rna_mass,input,kg,285598.8,
floatingse.rna_I,input,kg*m**2,"[114930678.0, 22035403.0, 18759742.5, 0.0, 503710.467, 0.0]",
floatingse.rna_cg,input,m,"[-1.13197635, 0.0, 0.50875268]",
floatingse.transition_piece_cost,input,USD,0.0,
floatingse.member0.s_in,input,,"[0.0, 0.38462, 0.4, 0.8308, 0.8923, 1.0]",
floatingse.member0.s_const1,input,,0.0,
floatingse.member0.s_const2,input,,0.0,
floatingse.E_mat,input,Pa,"[[3440000000.0, 3440000000.0, 3440000000.0], [41800000000.0, 14000000000.0, 2630000000.0], [27700000000.0, 13650000000.0, 7200000000.0], [13600000000.0, 13300000000.0, 11800000000.0], [200000000000.0, 200000000000.0, 200000000000.0], [205000000000.0, 205000000000.0, 205000000000.0], [118000000000.0, 118000000000.0, 118000000000.0], [98460000.0, 98460000.0, 98460000.0], [114500000000.0, 8390000000.0, 5990000000.0], [1000000.0, 1000000.0, 1000000.0], [1.0, 1.0, 1.0], [4560000.0, 4560000.0, 4560000.0]]",
floatingse.member0.E_user,input,Pa,0.0,
