variables,type,units,values,description
env1.distLoads.windLoads_Px,input,N/m,"[0.0, 153.71553661127714, 168.2591010840852, 152.9239219923508, 171.59711922381467, 186.57677505331458, 198.8878313199889]",
env1.distLoads.windLoads_Py,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env1.distLoads.windLoads_Pz,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env1.distLoads.windLoads_qdyn,input,N/m**2,"[0.0, 40.765063372606804, 53.789823603313046, 63.261083165159015, 70.97609776365012, 77.60257345126534, 83.47349968048928]",
env1.distLoads.windLoads_z,input,m,"[0.0, 14.599999999999998, 29.199999999999996, 43.8, 58.39999999999999, 72.99999999999999, 87.6]",
env1.distLoads.windLoads_beta,input,deg,0.0,
env1.distLoads.waveLoads_Px,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env1.distLoads.waveLoads_Py,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env1.distLoads.waveLoads_Pz,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env1.distLoads.waveLoads_qdyn,input,N/m**2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env1.distLoads.waveLoads_z,input,m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env1.distLoads.waveLoads_beta,input,deg,0.0,
z_global,output,m,"[0.0, 14.599999999999998, 29.199999999999996, 43.8, 58.39999999999999, 72.99999999999999, 87.6]",
yaw,input,deg,0.0,
env1.Uref,input,m/s,11.73732,
wind_reference_height,input,m,90.0,
z0,input,m,0.0,
shearExp,input,,0.2,
env1.windLoads.U,input,m/s,"[0.0, 8.158137379714614, 9.371238987917998, 10.16284414354436, 10.764726809705484, 11.256024125067727, 11.674042349780658]",
outer_diameter_full,output,m,"[6.9444087559667524, 5.981092122436499, 5.017775488906244, 4.05445885537599, 3.99297257025066, 3.93148628512533, 3.87]",
beta_wind,input,deg,0.0,
rho_air,input,kg/m**3,1.225,
mu_air,input,kg/m/s,1.7934e-05,
cd_usr,input,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",
env2.distLoads.windLoads_Px,input,N/m,"[0.0, 7016.411037436151, 7632.243738260155, 6882.244327637181, 7719.9797788202995, 8405.334019197559, 8975.908423016774]",
env2.distLoads.windLoads_Py,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env2.distLoads.windLoads_Pz,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env2.distLoads.windLoads_qdyn,input,N/m**2,"[0.0, 1449.9275822464074, 1913.1909148219506, 2250.063701006886, 2524.4705469263954, 2760.160352796165, 2968.9768532215226]",
env2.distLoads.windLoads_z,input,m,"[0.0, 14.599999999999998, 29.199999999999996, 43.8, 58.39999999999999, 72.99999999999999, 87.6]",
env2.distLoads.windLoads_beta,input,deg,0.0,
env2.distLoads.waveLoads_Px,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env2.distLoads.waveLoads_Py,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env2.distLoads.waveLoads_Pz,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env2.distLoads.waveLoads_qdyn,input,N/m**2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env2.distLoads.waveLoads_z,input,m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env2.distLoads.waveLoads_beta,input,deg,0.0,
env2.Uref,input,m/s,70.0,
env2.windLoads.U,input,m/s,"[0.0, 48.65417459692868, 55.8889703232305, 60.610010636849395, 64.19956827277299, 67.12960784529525, 69.6226195149017]",
joint1,output,m,"[0.0, 0.0, 0.0]",
joint2,output,m,"[0.0, 0.0, 87.6]",
s_full,output,m,"[0.0, 0.16666666666666666, 0.3333333333333333, 0.5, 0.6666666666666666, 0.8333333333333333, 1.0]",
s_all,input,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
g2e1.Px_global,input,N/m,"[0.0, 153.71553661127714, 168.2591010840852, 152.9239219923508, 171.59711922381467, 186.57677505331458, 198.8878313199889]",
g2e1.Py_global,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
g2e1.Pz_global,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
g2e1.qdyn_global,input,Pa,"[0.0, 40.765063372606804, 53.789823603313046, 63.261083165159015, 70.97609776365012, 77.60257345126534, 83.47349968048928]",
g2e2.Px_global,input,N/m,"[0.0, 7016.411037436151, 7632.243738260155, 6882.244327637181, 7719.9797788202995, 8405.334019197559, 8975.908423016774]",
g2e2.Py_global,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
g2e2.Pz_global,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
g2e2.qdyn_global,input,Pa,"[0.0, 1449.9275822464074, 1913.1909148219506, 2250.063701006886, 2524.4705469263954, 2760.160352796165, 2968.9768532215226]",
lc1:Px,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
lc1:Py,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
lc1:Pz,input,N/m,"[0.0, -153.71553661127714, -168.2591010840852, -152.9239219923508, -171.59711922381467, -186.57677505331458, -198.8878313199889]",
lc1:qdyn,input,Pa,"[0.0, 40.765063372606804, 53.789823603313046, 63.261083165159015, 70.97609776365012, 77.60257345126534, 83.47349968048928]",
lc2:Px,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
lc2:Py,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
lc2:Pz,input,N/m,"[0.0, -7016.411037436151, -7632.243738260155, -6882.244327637181, -7719.9797788202995, -8405.334019197559, -8975.908423016774]",
lc2:qdyn,input,Pa,"[0.0, 1449.9275822464074, 1913.1909148219506, 2250.063701006886, 2524.4705469263954, 2760.160352796165, 2968.9768532215226]",
z_full,output,m,"[0.0, 14.599999999999998, 29.199999999999996, 43.8, 58.39999999999999, 72.99999999999999, 87.6]",
t_full,output,m,"[0.019498302810239246, 0.019498302810239246, 0.019498302810239246, 0.016950804478426052, 0.016950804478426052, 0.016950804478426052]",
tower_height,input,m,87.6,
E_full,output,Pa,"[210000000000.0, 210000000000.0, 210000000000.0, 210000000000.0, 210000000000.0, 210000000000.0]",
G_full,output,Pa,"[80800000000.0, 80800000000.0, 80800000000.0, 80800000000.0, 80800000000.0, 80800000000.0]",
rho_full,output,kg/m**3,"[8500.0, 8500.0, 8500.0, 8500.0, 8500.0, 8500.0]",
sigma_y_full,output,Pa,"[450000000.0, 450000000.0, 450000000.0, 450000000.0, 450000000.0, 450000000.0]",
section_A,output,m**2,"[0.3946860801098097, 0.3356774214473268, 0.27666876278484387, 0.21337033972293384, 0.2100960399210665, 0.20682174011919782]",
section_Asx,output,m**2,"[0.23997118964800285, 0.20414216299805857, 0.16831340385630117, 0.12980030804908094, 0.12781223432357872, 0.12582416244685188]",
section_Asy,output,m**2,"[0.23997118964800285, 0.20414216299805857, 0.16831340385630117, 0.12980030804908094, 0.12781223432357872, 0.12582416244685188]",
section_Ixx,output,kg*m**2,"[2.048217407429407, 1.2600521963741707, 0.7055131677241467, 0.4281929942764957, 0.4087815208467369, 0.38996575844393944]",
section_Iyy,output,kg*m**2,"[2.048217407429407, 1.2600521963741707, 0.7055131677241467, 0.4281929942764957, 0.4087815208467369, 0.38996575844393944]",
section_J0,output,kg*m**2,"[4.096434814858814, 2.5201043927483413, 1.4110263354482935, 0.8563859885529914, 0.8175630416934738, 0.7799315168878789]",
section_rho,output,kg/m**3,"[9095.0, 9095.0, 9095.0, 9095.0, 9095.0, 9095.0]",
section_E,output,Pa,"[210000000000.0, 210000000000.0, 210000000000.0, 210000000000.0, 210000000000.0, 210000000000.0]",
section_G,output,Pa,"[80800000000.0, 80800000000.0, 80800000000.0, 80800000000.0, 80800000000.0, 80800000000.0]",
section_L,output,m,"[14.599999999999998, 14.599999999999998, 14.600000000000001, 14.599999999999994, 14.599999999999994, 14.600000000000009]",
post.cylinder_Fz,input,N,"[[-4544592.622056397, -5059650.423935822], [-4105162.3238747856, -4516681.208264228], [-3742576.0671883076, -4051519.9310538517], [-3462389.8984045135, -3668148.7953211386], [-3186224.1643253956, -3278033.9326571384], [-2914124.844005121, -2883106.12368949]]",
post.cylinder_Vx,input,N,"[[1285238.4043869115, 930576.6322370842], [1286097.8934733793, 931397.019623898], [1286916.2528408542, 932204.6731474921], [1287453.2592315823, 932837.2813826948], [1288280.5799453706, 933744.9353920519], [1288647.8186224997, 934202.6490297467]]",
post.cylinder_Vy,input,N,"[[-18.765764536336064, 8.53598613559734], [-58.02487879083492, 30.58131721999962], [-107.4146036352031, 59.15196234197356], [-160.36497919354588, 93.35996334557422], [-253.8755525201559, 152.6752626481466], [-346.8634190177545, 214.37659653648734]]",
post.cylinder_Mxx,input,N*m,"[[4290877.763432895, -1831495.2536678775], [4273372.652325834, -1823180.615096555], [4237898.836773356, -1806529.7130356994], [4175375.814008143, -1777668.6551501239], [4082441.520206839, -1735707.0848135897], [3963851.324185379, -1683742.331208717]]",
post.cylinder_Myy,input,N*m,"[[96317618.26315734, 69030462.77466904], [77152307.69559985, 55123988.63890882], [57678444.10838093, 40978912.747313626], [37866284.06151751, 26583206.922303095], [17815762.835481524, 12028457.115821362], [-2274916.13560766, -2522314.562396005]]",
post.cylinder_Mzz,input,N*m,"[[-346836.7097078701, 147327.95330848012], [-346839.7972184067, 147329.45402743277], [-346845.3753805976, 147331.7378701903], [-346856.97858079086, 147336.59471315128], [-346852.4262340079, 147333.80635760282], [-346847.8133335625, 147330.8703587166]]",
qdyn,output,Pa,"[[0.0, 0.0], [40.765063372606804, 1449.9275822464074], [53.789823603313046, 1913.1909148219506], [63.261083165159015, 2250.063701006886], [70.97609776365012, 2524.4705469263954], [77.60257345126534, 2760.160352796165], [83.47349968048928, 2968.9768532215226]]",
nodes_xyz,output,m,"[[0.0, 0.0, 0.0], [0.0, 0.0, 14.599999999999998], [0.0, 0.0, 29.199999999999996], [0.0, 0.0, 43.8], [0.0, 0.0, 58.39999999999999], [0.0, 0.0, 72.99999999999999], [0.0, 0.0, 87.6]]",
rna_mass,input,kg,285598.8,
rna_I,input,kg*m**2,"[114930678.0, 22035403.0, 18759742.5, 0.0, 503710.467, 0.0]",
rna_cg,input,m,"[-1.13197635, 0.0, 0.50875268]",
tower.rna_F,input,N,"[[1284744.19620519, 930198.60063279], [0.0, 0.0], [-2914124.84400512, -2883106.12368949]]",
tower.rna_M,input,N*m,"[[3963732.76208099, -1683669.22411597], [-2275104.79420872, -2522475.34625363], [-346781.68192839, 147301.97023764]]",
Px,output,N/m,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",
Py,output,N/m,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",
Pz,output,N/m,"[[0.0, 0.0], [-153.71553661127714, -7016.411037436151], [-168.2591010840852, -7632.243738260155], [-152.9239219923508, -6882.244327637181], [-171.59711922381467, -7719.9797788202995], [-186.57677505331458, -8405.334019197559], [-198.8878313199889, -8975.908423016774]]",
tower_mass,output,kg,217414.86184417288,
tower_center_of_mass,output,m,37.511254039351414,
tower_I_base,output,kg*m**2,"[447711732.9598199, 447711732.9598199, 1399575.1876188335, 0.0, 0.0, 0.0]",
member.gc.d,input,m,"[6.9444087559667524, 4.05445885537599, 3.87]",
member.gc.t,input,m,"[0.019498302810239246, 0.016950804478426052]",
member.s,output,,"[0.0, 0.5, 1.0]",
member.height,output,m,87.6,
tower_outer_diameter,output,m,"[6.9444087559667524, 4.05445885537599, 3.87]",
member.ca_usr_grid,input,,"[0.0, 0.0, 0.0]",
member.cd_usr_grid,input,,"[0.0, 0.0, 0.0]",
tower_wall_thickness,output,m,"[0.019498302810239246, 0.016950804478426052]",
member.E,output,Pa,"[210000000000.0, 210000000000.0]",
member.G,output,Pa,"[80800000000.0, 80800000000.0]",
member.sigma_y,output,Pa,"[450000000.0, 450000000.0]",
member.rho,output,kg/m**3,"[8500.0, 8500.0]",
member.unit_cost,output,USD/kg,"[2.0, 2.0]",
member.outfitting_factor,output,,"[1.07, 1.07]",
rho_water,input,kg/m**3,0.0,
member.s_ghost1,input,,0.0,
member.s_ghost2,input,,1.0,
tower_s,input,,"[0.0, 0.5, 1.0]",
member.s_const1,input,,0.0,
member.s_const2,input,,0.0,
tower_layer_thickness,input,m,"[[0.03495400690407969, 0.004042598716398804, 0.029859010240453298]]",
tower_outer_diameter_in,input,m,"[6.9444087559667524, 4.05445885537599, 3.87]",
E_mat,input,Pa,"[[210000000000.0, 210000000000.0, 210000000000.0]]",
E_user,input,Pa,0.0,
G_mat,input,Pa,"[[80800000000.0, 80800000000.0, 80800000000.0]]",
sigma_y_mat,input,Pa,450000000.0,
sigma_ult_mat,input,Pa,"[[600000000.0, 600000000.0, 600000000.0]]",
wohler_exp_mat,input,,10.0,
wohler_A_mat,input,,10.0,
rho_mat,input,kg/m**3,8500.0,
unit_cost_mat,input,USD/kg,2.0,
outfitting_factor_in,input,,1.07,
tower_layer_materials,input,n/a,,
member.ballast_materials,input,n/a,[],
material_names,input,n/a,,
outfitting_full,output,,"[1.07, 1.07, 1.07, 1.07, 1.07, 1.07]",
member.unit_cost_full,output,USD/kg,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",
labor_cost_rate,input,USD/min,1.6666666666666667,
painting_cost_rate,input,USD/m**2,30.0,
tower_mass_user,input,kg,0.0,
hub_height,input,m,87.6,
foundation_height,input,m,0.0,
env1.Px,output,N/m,"[0.0, 153.71553661127714, 168.2591010840852, 152.9239219923508, 171.59711922381467, 186.57677505331458, 198.8878313199889]",
env1.Py,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env1.Pz,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env1.qdyn,output,N/m**2,"[0.0, 40.765063372606804, 53.789823603313046, 63.261083165159015, 70.97609776365012, 77.60257345126534, 83.47349968048928]",
env1.wind.U,output,m/s,"[0.0, 8.158137379714614, 9.371238987917998, 10.16284414354436, 10.764726809705484, 11.256024125067727, 11.674042349780658]",
env1.windLoads.windLoads_Px,output,N/m,"[0.0, 153.71553661127714, 168.2591010840852, 152.9239219923508, 171.59711922381467, 186.57677505331458, 198.8878313199889]",
env1.windLoads.windLoads_Py,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env1.windLoads.windLoads_Pz,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env1.windLoads.windLoads_qdyn,output,N/m**2,"[0.0, 40.765063372606804, 53.789823603313046, 63.261083165159015, 70.97609776365012, 77.60257345126534, 83.47349968048928]",
env1.windLoads.windLoads_z,output,m,"[0.0, 14.599999999999998, 29.199999999999996, 43.8, 58.39999999999999, 72.99999999999999, 87.6]",
env1.windLoads.windLoads_beta,output,deg,0.0,
env2.Px,output,N/m,"[0.0, 7016.411037436151, 7632.243738260155, 6882.244327637181, 7719.9797788202995, 8405.334019197559, 8975.908423016774]",
env2.Py,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env2.Pz,output,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
env2.qdyn,output,N/m**2,"[0.0, 1449.9275822464074, 1913.1909148219506, 2250.063701006886, 2524.4705469263954, 2760.160352796165, 2968.9768532215226]",
env2.wind.U,output,m/s,"[0.0, 48.65417459692868, 55.8889703232305, 60.610010636849395, 64.19956827277299, 67.12960784529525, 69.6226195149017]",
env2.windLoads.windLoads_Px,output,N/m,"[0.0, 7016.411037436151, 7632.243738260155, 6882.244327637181, 7719.9797788202995, 8405.334019197559, 8975.908423016774]",
