variables,type,units,values,description
tcc.main_bearing_mass,input,kg,[0.],
tcc.bearing_mass_cost_coeff,input,USD/kg,[4.5],
tcc.bedplate_mass,input,kg,[0.],
tcc.bedplate_mass_cost_coeff,input,USD/kg,[2.9],
tcc.blade_mass,input,kg,[0.],
tcc.blade_mass_cost_coeff,input,USD/kg,[14.6],
tcc.blade_cost_external,input,USD,[0.],
tcc.brake_mass,input,kg,[0.],
tcc.brake_mass_cost_coeff,input,USD/kg,[3.6254],
tcc.machine_rating,input,kW,[5000.],
tcc.controls_machine_rating_cost_coeff,input,USD/kW,[21.15],
tcc.converter_mass,input,kg,[0.],
tcc.converter_mass_cost_coeff,input,USD/kg,[18.8],
tcc.cover_mass,input,kg,[0.],
tcc.cover_mass_cost_coeff,input,USD/kg,[5.7],
tcc.elec_connec_machine_rating_cost_coeff,input,USD/kW,[41.85],
tcc.gearbox_mass,input,kg,[0.],
tcc.gearbox_torque_density,input,N*m/kg,[200.],"In 2024, modern 5-7MW gearboxes are able to reach 200 Nm/kg"
tcc.gearbox_torque_cost,input,USD/kN/m,[50.],"In 2024, modern 5-7MW gearboxes cost approx $50/kNm"
tcc.generator_mass,input,kg,[0.],
tcc.generator_mass_cost_coeff,input,USD/kg,[12.4],
tcc.generator_cost_external,input,USD,[0.],
tcc.hss_mass,input,kg,[0.],
tcc.hss_mass_cost_coeff,input,USD/kg,[6.8],
tcc.hub_mass,input,kg,[0.],
tcc.pitch_system_mass,input,kg,[0.],
tcc.spinner_mass,input,kg,[0.],
tcc.hub_assemblyCostMultiplier,input,,[0.],
tcc.hub_overheadCostMultiplier,input,,[0.],
tcc.hub_profitMultiplier,input,,[0.],
tcc.hub_transportMultiplier,input,,[0.],
tcc.hub_mass_cost_coeff,input,USD/kg,[3.9],
tcc.hvac_mass,input,kg,[0.],
tcc.hvac_mass_cost_coeff,input,USD/kg,[124.],
tcc.lss_mass,input,kg,[0.],
tcc.lss_mass_cost_coeff,input,USD/kg,[11.9],
tcc.yaw_mass,input,kg,[0.],
tcc.platforms_mass,input,kg,[0.],
tcc.transformer_mass,input,kg,[0.],
tcc.nacelle_assemblyCostMultiplier,input,,[0.],
tcc.nacelle_overheadCostMultiplier,input,,[0.],
tcc.nacelle_profitMultiplier,input,,[0.],
tcc.nacelle_transportMultiplier,input,,[0.],
tcc.main_bearing_number,input,n/a,2,
tcc.pitch_system_mass_cost_coeff,input,USD/kg,[22.1],
tcc.platforms_mass_cost_coeff,input,USD/kg,[17.1],
